Location;Specializaion;Position_level;Contract_type;Work_schedule;Work_modes
Warszawa, Masovian;Specializations:AI/ML, Backend, Big Data / Data Science;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:IT admin;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:IT admin;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Backend, Full-stack;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Project Management;kierownik / koordynator;umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, Masovian;Specializations:Agile, Project Management;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Backend;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Big Data / Data Science;director;contract of employment;full-time;hybrid work
Kraków, ma³opolskie;Specjalizacje:Backend, Full-stack;starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
£ódŸ, ³ódzkie;Specjalizacje:Big Data / Data Science, Business analytics;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:DevOps;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Wroc³aw, Lower Silesia;Specializations:Project Management;senior specialist (Senior);B2B contract;full-time;home office work
Kraków, ma³opolskie;Specjalizacje:Mobile, Project Management;kierownik / koordynator, mened¿er;umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Kraków, ma³opolskie;Specjalizacje:Mobile;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca zdalna, praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:Backend;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Wroc³aw, dolnoœl¹skie;Specjalizacje:Backend;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, Masovian;Specializations:AI/ML, Backend, Big Data / Data Science;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:DevOps;senior specialist (Senior);contract of employment;full-time;hybrid work
Jaworzno, œl¹skie;Specjalizacje:Helpdesk, IT admin, SAP&ERP, Security;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Warszawa, Masovian;Specializations:Big Data / Data Science, System analytics;specialist (Mid / Regular);contract of employment, B2B contract;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:SAP&ERP;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Kraków, Lesser Poland;Specializations:Business analytics;senior specialist (Senior), expert;contract of employment, B2B contract;full-time;full office work, hybrid work
Warszawa, mazowieckie;Specjalizacje:QA/Testing;starszy specjalista (Senior);umowa o pracê, kontrakt B2B;czêœæ etatu;praca zdalna
Warszawa, mazowieckie;Specjalizacje:IT admin;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;;senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Architecture;starszy specjalista (Senior), ekspert;umowa o pracê, kontrakt B2B;czêœæ etatu;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Agile;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Mszczonów, mazowieckie;Specjalizacje:Helpdesk, IT admin, System analytics;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Full-stack;kierownik / koordynator, mened¿er;umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:IT admin;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, umowa zlecenie, kontrakt B2B;czêœæ etatu;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Business analytics;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Product Management;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:QA/Testing;m³odszy specjalista (Junior);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Business analytics;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;czêœæ etatu;praca zdalna
Wroc³aw, dolnoœl¹skie;Specjalizacje:Full-stack;starszy specjalista (Senior);umowa o pracê, umowa zlecenie, kontrakt B2B;czêœæ etatu;praca zdalna
Warszawa, Masovian;Specializations:Helpdesk, IT admin;specialist (Mid / Regular), junior specialist (Junior);B2B contract;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Agile;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:DevOps;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:QA/Testing;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:Big Data / Data Science;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:IT admin, Product Management, Project Management;kierownik / koordynator;kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Security;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Security;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Kraków, Lesser Poland;Specializations:Mobile;trainee;contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;full office work, hybrid work
Poznañ, wielkopolskie;Specjalizacje:Business analytics;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Kraków, ma³opolskie;Specjalizacje:Backend;m³odszy specjalista (Junior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:QA/Testing;senior specialist (Senior);B2B contract;full-time;home office work
Kraków, ma³opolskie;Specjalizacje:Business analytics;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Kraków, Lesser Poland;Specializations:Project Management;team manager;contract of employment, B2B contract;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Business analytics;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Agile, IT admin, Project Management;kierownik / koordynator, mened¿er;umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:Backend, Frontend, Full-stack;trainee;contract of mandate, internship / apprenticeship contract;full-time, additional / temporary;full office work, hybrid work
Kraków, Lesser Poland;Specializations:SAP&ERP;trainee;contract of mandate, internship / apprenticeship contract;full-time, additional / temporary;full office work, hybrid work
Kraków, Lesser Poland;Specializations:DevOps;specialist (Mid / Regular);B2B contract;full-time;hybrid work
Gdynia, Pomeranian;Specializations:Full-stack;specialist (Mid / Regular);contract of employment;full-time;home office work
Gdynia, Pomeranian;Specializations:Full-stack;senior specialist (Senior);contract of employment;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:Architecture;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:Helpdesk;specialist (Mid / Regular);contract of employment;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend, Full-stack, Game dev, Mobile;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Mobile;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Wroc³aw, dolnoœl¹skie;Specjalizacje:Backend;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Frontend;starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:Backend;specialist (Mid / Regular), junior specialist (Junior);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Frontend;specialist (Mid / Regular);contract of employment;full-time;hybrid work
£ódŸ, £ódŸ;Specializations:Business analytics;junior specialist (Junior);contract of mandate, B2B contract;full-time;hybrid work
Kraków, ma³opolskie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:QA/Testing;junior specialist (Junior);contract of employment;full-time;full office work
Warszawa, Masovian;;trainee;contract of mandate;full-time;hybrid work
Warszawa, Masovian;Specializations:Backend;team manager;contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Architecture;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Poznañ, Greater Poland;;junior specialist (Junior);contract of employment;full-time;full office work
Warszawa, mazowieckie;Specjalizacje:DevOps;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Szczecin, West Pomeranian;Specializations:IT admin;junior specialist (Junior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:IT admin;m³odszy specjalista (Junior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Gdañsk, pomorskie;Specjalizacje:Project Management;mened¿er;umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;;kierownik / koordynator, mened¿er;umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Helpdesk;specialist (Mid / Regular);contract of employment;full-time;full office work
Warszawa, mazowieckie;Specjalizacje:IT admin, Security;starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:QA/Testing;specjalista (Mid / Regular), m³odszy specjalista (Junior);kontrakt B2B;pe³ny etat;praca hybrydowa
Poznañ, wielkopolskie;Specjalizacje:Backend, Helpdesk, IT admin;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Backend;specialist (Mid / Regular);B2B contract;full-time;hybrid work
Rzeszów, podkarpackie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;;kierownik / koordynator;umowa o pracê;pe³ny etat;praca hybrydowa
£ódŸ, ³ódzkie;Specjalizacje:Backend, Full-stack;m³odszy specjalista (Junior);kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Szczecin, West Pomeranian;Specializations:Architecture;specialist (Mid / Regular);contract of employment;full-time;full office work
Kraków, Lesser Poland;Specializations:Big Data / Data Science, Business analytics;senior specialist (Senior), expert;contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, Masovian;;senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, mazowieckie;;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Gdañsk, Pomeranian;Specializations:System analytics;specialist (Mid / Regular);contract of employment;full-time;home office work
Warszawa, mazowieckie;;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Wroc³aw, Lower Silesia;Specializations:Backend;senior specialist (Senior), expert;contract of employment;full-time;home office work
Pod³ê¿e (pow. wielicki), ma³opolskie;Specjalizacje:SAP&ERP;starszy specjalista (Senior), ekspert;umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Warszawa, Masovian;Specializations:Backend;senior specialist (Senior);contract of employment;full-time;hybrid work
Gdañsk, pomorskie;Specjalizacje:QA/Testing;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, ma³opolskie;Specjalizacje:Security;starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;Specializations:Full-stack;specialist (Mid / Regular);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:DevOps, Full-stack;senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:Backend, Embedded;specialist (Mid / Regular);B2B contract;full-time;home office work
O¿arów Mazowiecki, mazowieckie;Specjalizacje:Security;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;Specializations:DevOps, IT admin;specialist (Mid / Regular);B2B contract;full-time;home office work
Komorniki (gm. Komorniki), Greater Poland;Specializations:SAP&ERP;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:SAP&ERP;specialist (Mid / Regular);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:Full-stack;specialist (Mid / Regular);B2B contract;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Backend;specialist (Mid / Regular);B2B contract;full-time;home office work
Kraków, Lesser Poland;Specializations:Security;trainee;contract of mandate;part time;hybrid work
Warszawa, Masovian;Specializations:Backend;specialist (Mid / Regular);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:QA/Testing;specialist (Mid / Regular);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:Big Data / Data Science;senior specialist (Senior);B2B contract;full-time;home office work
Wroc³aw, dolnoœl¹skie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Kraków, Lesser Poland;Specializations:Backend;trainee;contract of mandate;part time;hybrid work
Warszawa, Masovian;Specializations:DevOps;specialist (Mid / Regular);B2B contract;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Backend;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:SAP&ERP;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
